rk,player,nation,pos,squad,age,born_year,mp,starts,min,nineties,gls,ast,g_a,g_minus_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_a_per90,g_minus_pk_per90,g_a_minus_pk_per90,g_minus_pk_per90_calc,pk_per90,pkatt_per90,crdy_per90,crdr_per90
438,Dominik Marczuk,pl POL,MF,Real Salt Lake,22.0,2003.0,10,1,265,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0
439,Paul Marie,fr FRA,MF,SJ Earthquakes,31.0,1995.0,13,2,265,2.9,0,4,4,0,0,0,0,0,0.0,1.36,1.36,0.0,1.36,0.0,0.0,0.0,0.0,0.0
440,Adrián Marín,es ESP,DF,Orlando City,29.0,1997.0,17,12,1128,12.5,0,3,3,0,0,0,3,0,0.0,0.24,0.24,0.0,0.24,0.0,0.0,0.0,0.24,0.0
441,Anthony Markanich,ph PHI,MFDF,Minnesota Utd,26.0,1999.0,19,18,1512,16.8,4,1,5,4,0,0,2,0,0.24,0.06,0.3,0.24,0.3,0.24,0.0,0.0,0.12,0.0
442,Nick Markanich,us USA,FW,Houston,26.0,1999.0,6,1,92,1.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98
443,Nikola Marković,ca CAN,MFDF,D.C. United,22.0,2004.0,13,2,325,3.6,0,1,1,0,0,0,1,0,0.0,0.28,0.28,0.0,0.28,0.0,0.0,0.0,0.28,0.0
444,Idan Markovich,il ISR,FW,Charlotte,22.0,2004.0,19,17,1405,15.6,5,2,7,5,0,1,1,0,0.32,0.13,0.45,0.32,0.45,0.32,0.0,0.06,0.06,0.0
445,Jahkeele Marshall-Rutty,ca CAN,DF,RB New York,22.0,2004.0,18,14,1232,13.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0
446,David Martínez,ve VEN,FWMF,LAFC,20.0,2006.0,18,11,957,10.6,6,0,6,6,0,0,2,0,0.56,0.0,0.56,0.56,0.56,0.56,0.0,0.0,0.19,0.0
447,Geiner Martínez,co COL,DF,Philadelphia,23.0,2003.0,7,4,458,5.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0
