,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
749,Jeppe Tverskov,dk DEN,MF,San Diego FC,33-159,1993,14,12,1133,12.6,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,898b9fd1
750,Osaze Urhoghide,nl NED,DF,FC Dallas,26-045,2000,16,16,1439,16.0,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,Matches,1124ac8a
751,Myrto Uzuni,al ALB,FW,Austin FC,31-079,1995,17,17,1489,16.5,6,0,6,5,1,1,5,0,0.36,0.00,0.36,0.30,0.30,Matches,01da7812
752,Onni Valakari,fi FIN,MF,San Diego FC,27-000,1999,19,18,1532,17.0,3,3,6,2,1,1,1,0,0.18,0.18,0.35,0.12,0.29,Matches,8ed8c801
753,Omar Valencia,pa PAN,DF,RB New York,22-071,2004,11,1,336,3.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,790c93ea
754,Gerardo Valenzuela,us USA,MF,FC Cincinnati,21-324,2004,15,11,952,10.6,1,2,3,1,0,0,2,2,0.09,0.19,0.28,0.09,0.28,Matches,ca07c1c5
755,Joaquín Valiente,uy URU,MFFW,FC Dallas,25-127,2001,17,12,1075,11.9,0,4,4,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches,f3156a5b
756,Kerwin Vargas,co COL,MF,Charlotte,24-228,2002,17,12,993,11.0,3,4,7,3,0,0,0,0,0.27,0.36,0.63,0.27,0.63,Matches,758de7b4
757,Indiana Vassilev,us USA,MF,Philadelphia,25-183,2001,18,16,1211,13.5,2,0,2,1,1,1,1,0,0.15,0.00,0.15,0.07,0.07,Matches,04e195ee
758,Brandon Vazquez,us USA,FW,Austin FC,27-308,1998,8,3,337,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c570cf22
759,David Vazquez,us USA,MFFW,San Diego FC,20-177,2006,16,10,817,9.1,3,0,3,3,0,0,3,0,0.33,0.00,0.33,0.33,0.33,Matches,60419133
760,Kristoffer Velde,no NOR,MFFW,Portland Timbers,26-343,1999,18,17,1530,17.0,4,4,8,4,0,1,3,0,0.24,0.24,0.47,0.24,0.47,Matches,c5c1627c
761,Brayan Vera,co COL,DF,CF Montréal,27-215,1999,17,17,1457,16.2,1,0,1,1,0,0,4,1,0.06,0.00,0.06,0.06,0.06,Matches,80c718dd
762,Oscar Verhoeven,us USA,DF,San Diego FC,20-079,2006,17,12,1180,13.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8409bad1
763,Ranko Veselinović,rs SRB,DF,Vancouver,27-147,1999,4,1,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,366609b6
764,Ronaldo Vieira,gw GNB,MF,SJ Earthquakes,28-030,1998,16,15,1274,14.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,75e60d75
765,Jules-Anthony Vilsaint,ca CAN,MF,Toronto FC,23-224,2003,4,1,118,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6ef6e9ce
766,Sam Vines,us USA,DF,Houston,27-079,1999,3,1,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d6e535f
767,Robert Voloder,ba BIH,DF,RB New York,25-101,2001,8,8,709,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,33d9d789
768,Kai Wagner,de GER,DF,Philadelphia,29-184,1997,4,4,360,4.0,0,3,3,0,0,0,1,0,0.00,0.75,0.75,0.00,0.75,Matches,fdc715d9
769,Conrad Wallem,no NOR,MF,St. Louis City,26-070,2000,16,16,1363,15.1,0,1,1,0,0,0,4,1,0.00,0.07,0.07,0.00,0.07,Matches,443a4bb2
770,Joel Waterman,ca CAN,DFMF,Chicago Fire,30-206,1996,13,9,917,10.2,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,47ddcc22
771,Timo Werner,de GER,MFFW,SJ Earthquakes,30-165,1996,11,8,799,8.9,5,4,9,3,2,3,2,0,0.56,0.45,1.01,0.34,0.79,Matches,49fe9070
772,Francis Westfield,us USA,DF,Philadelphia,20-252,2005,15,15,1250,13.9,0,4,4,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,4cafc4bb
773,Ashley Westwood,eng ENG,MF,Charlotte,36-139,1990,18,17,1563,17.4,2,1,3,2,0,0,7,0,0.12,0.06,0.17,0.12,0.17,Matches,495945ef
774,Brian White,us USA,FW,Vancouver,30-196,1996,17,17,1445,16.1,10,2,12,9,1,1,2,0,0.62,0.12,0.75,0.56,0.69,Matches,54c948de
775,Loïc Williams,es ESP,DF,Colorado Rapids,24-223,2002,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,302a237e
776,Henry Wingo,us USA,DFMF,Toronto FC,30-318,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0362c29e
777,Maxwell Woledzi,gh GHA,DF,Nashville SC,25-047,2001,19,18,1632,18.1,1,0,1,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,2b8798a6
778,Hannes Wolf,at AUT,MFFW,NYCFC,27-124,1999,17,12,1088,12.1,5,2,7,5,0,0,2,0,0.41,0.17,0.58,0.41,0.58,Matches,be42a291
779,Owen Wolff,us USA,MF,Austin FC,21-231,2004,8,4,378,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9edc70d6
780,Elijah Wynder,us USA,MF,LA Galaxy,23-161,2003,19,12,1055,11.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,53171f69
781,Miki Yamane,jp JPN,DF,LA Galaxy,32-239,1993,16,12,968,10.8,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,b712e02d
782,Darren Yapi,us USA,FWMF,Colorado Rapids,21-272,2004,19,10,909,10.1,3,2,5,3,0,0,3,0,0.30,0.20,0.50,0.30,0.50,Matches,63abd734
783,Patrick Yazbek,au AUS,MF,Nashville SC,24-135,2002,10,7,657,7.3,1,3,4,1,0,0,0,0,0.14,0.41,0.55,0.14,0.55,Matches,1e745ee1
784,Kelvin Yeboah,it ITA,FW,Minnesota Utd,26-104,2000,18,16,1369,15.2,8,0,8,7,1,2,2,0,0.53,0.00,0.53,0.46,0.46,Matches,ea0893d6
785,DeAndre Yedlin,us USA,DF,Real Salt Lake,33-040,1993,12,11,906,10.1,0,1,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,ae0a7ddf
786,Maya Yoshida,jp JPN,DF,LA Galaxy,37-359,1988,15,9,792,8.8,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,Matches,caffaf5a
787,Griffin Yow,us USA,MFFW,NE Revolution,23-327,2002,18,9,811,9.0,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,ddd5cf39
788,Jackson Yueill,us USA,MF,NE Revolution,29-152,1997,10,1,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7dce16bf
789,Alhassan Yusuf,ng NGA,MF,NE Revolution,26-031,2000,19,16,1470,16.3,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches,0de73fa4
790,Wilfried Zaha,ci CIV,MFFW,Charlotte,33-281,1992,13,13,1161,12.9,3,1,4,3,0,0,7,0,0.23,0.08,0.31,0.23,0.31,Matches,b2bc3b1f
791,Bryan Zamblé,ci CIV,FW,San Diego FC,18-180,2008,8,1,138,1.5,2,0,2,2,0,0,0,0,1.30,0.00,1.30,1.30,1.30,Matches,6f219f20
792,Marcos Zambrano,us USA,FW,NE Revolution,21-210,2005,7,3,241,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches,520bc5f6
793,Sean Zawadzki,us USA,DFMF,Columbus Crew,26-119,2000,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,380ee265
794,Walker Zimmerman,us USA,DF,Toronto FC,33-091,1993,16,15,1272,14.1,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,220fa883
795,Philip Zinckernagel,dk DEN,MF,Chicago Fire,31-245,1994,18,18,1438,16.0,5,7,12,4,1,2,4,0,0.31,0.44,0.75,0.25,0.69,Matches,a5ea254c
796,Mateja Đorđević,rs SRB,DF,Austin FC,23-213,2003,6,2,272,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0cbe2ba8
