,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
129,Antonio Carlos,br BRA,DF,Houston,33-164,1993,13,11,1034,11.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,949fe1e8
130,Wikelman Carmona,ve VEN,MFFW,CF Montréal,23-175,2003,12,10,792,8.8,4,2,6,4,0,0,1,0,0.45,0.23,0.68,0.45,0.68,Matches,cab97dd2
131,Maxi Carrizo,us USA,MF,NYCFC,18-171,2008,6,0,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,39b3e9d4
132,Wilder Cartagena,pe PER,MF,Orlando City,31-329,1994,6,1,80,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9f0f5d15
133,Cabral Carter,us USA,GK,LAFC,22-044,2004,1,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9180b76
134,Casemiro,br BRA,MF,Inter Miami,34-176,1992,3,3,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4d224fe8
135,Nico Cavallo,us USA,DFMF,NYCFC,24-234,2001,10,9,799,8.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,290d5b58
136,Brayan Ceballos,co COL,DF,NE Revolution,25-086,2001,9,8,635,7.1,2,0,2,2,0,0,3,0,0.28,0.00,0.28,0.28,0.28,Matches,3fa61ade
137,Brayan Ceballos,co COL,DF,CF Montréal,25-086,2001,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3fa61ade
138,Roman Celentano,us USA,GK,FC Cincinnati,25-338,2000,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42ba8628
139,Edwin Cerrillo,us USA,MF,LA Galaxy,25-319,2000,16,14,1271,14.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,bd060315
140,Dylan Chambost,fr FRA,MF,Columbus Crew,28-364,1997,16,12,1000,11.1,0,2,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches,dbde4959
